time	step	train_loss	lr	acc	smilarity
01-07 19:01	49200	2.144221305847168	6.553449999999978e-06	0.09160895751988021	0.08088808704931766
01-07 19:02	49600	2.0983073711395264	6.528474999999978e-06	0.09227286876891073	0.08196594308202082
01-07 19:03	50000	2.1278645992279053	6.478524999999978e-06	0.08707939351907579	0.08024151308032185
01-07 19:04	50400	2.1650545597076416	6.453549999999978e-06	0.0958942773587341	0.08514740513876465
01-07 19:05	50800	2.141969680786133	6.428574999999978e-06	0.09251566292572898	0.08361075188104923
01-07 19:06	51200	2.23785400390625	6.403599999999978e-06	0.09822406221553814	0.08656811155378816
01-07 19:07	51600	2.2012648582458496	6.378624999999978e-06	0.09203122751598222	0.08287166059017181
01-07 19:08	52000	2.2008056640625	6.3536499999999785e-06	0.09347431648384569	0.08554036666949591
01-07 19:08	52400	2.1153273582458496	6.328674999999979e-06	0.08922294927428338	0.08153090630777372
01-07 19:09	52800	2.159778118133545	6.2787249999999794e-06	0.09869816429299895	0.08492682286753105
01-07 19:10	53200	2.142299175262451	6.25374999999998e-06	0.08702549935366884	0.07946200664035784
01-07 19:11	53600	2.1578001976013184	6.228774999999979e-06	0.08743200208611401	0.08076343599420326
01-07 19:12	54000	2.165860652923584	6.2037999999999795e-06	0.09273489695400927	0.08362792312907866
01-07 19:13	54400	2.217529296875	6.17882499999998e-06	0.08885768394252988	0.07987778910841693
01-07 19:14	54800	2.18438720703125	6.15384999999998e-06	0.09351545619362024	0.0827608960083662
01-07 19:14	55200	2.097592353820801	6.12887499999998e-06	0.08900884326380643	0.08371674594206688
01-07 19:15	55600	2.12109375	6.103899999999981e-06	0.09187640503709676	0.08330876131852467
01-07 19:16	56000	2.0885629653930664	6.05394999999998e-06	0.0914567256127617	0.08450464851772174
01-07 19:17	56400	2.139984607696533	6.028974999999981e-06	0.08848340486121281	0.08171964379457328
01-07 19:18	56800	2.0795817375183105	6.00399999999998e-06	0.09588044729589122	0.08603072319275294
01-07 19:19	57200	2.0960288047790527	5.9790249999999796e-06	0.09534165419244298	0.08528711293370297
01-07 19:20	57600	2.103980541229248	5.95404999999998e-06	0.09590129499079651	0.08611895096225616
01-07 19:20	58000	2.10274076461792	5.929074999999979e-06	0.0975456106302704	0.08411419969529679
01-07 19:21	58400	2.0653645992279053	5.90409999999998e-06	0.09243789969684796	0.08119268701053584
01-07 19:22	58800	2.102278709411621	5.85414999999998e-06	0.09267618068436655	0.08509038274104777
01-07 19:23	59200	2.1205978393554688	5.82917499999998e-06	0.09789791328374099	0.08764440580629386
01-07 19:24	59600	2.092149257659912	5.804199999999979e-06	0.08733197993142543	0.07965551230769889
